Noun	NounRecovered	NounThatRecovered	True_False	False_False	ThatCount	VerbCount	PrepCount	NextWords
report	0.7578125	0.2421875	3.73766961828337	9.64368001685033	31.0	50	8.0	[('in', 39), ('vbd', 24), ('vbz', 15), ('vbn', 9), ('nns', 4), ('vbg', 2), ('nps', 1), ('to', 1), ('rb', 1), ('jj', 1)]
story	0.7890625	0.3515625	5.16478597392351	10.6950537119368	45.0	33	7.0	[('in', 52), ('vbz', 25), ('nns', 7), ('vbd', 6), ('nps', 5), ('rb', 2), ('vbn', 2), ('nn', 1), (',', 1)]
admission	0.8203125	0.3984375	1.38629436111989	6.50128967054039	51.0	16	13.0	[('in', 64), ('to', 16), ('vbd', 9), ('nn', 6), ('vbz', 5), ('vbn', 2), ('OOV', 1), ('nns', 1), ('rb', 1)]
complaint	0.8046875	0.3828125	2.07944154167984	6.98656645940643	49.0	33	10.0	[('in', 59), ('vbd', 21), ('vbz', 8), ('to', 4), ('vbn', 3), ('nps', 2), ('nns', 2), (',', 2), ('vbg', 1), ('cc', 1)]
declaration	0.796875	0.421875	2.19722457733622	7.10167597161944	54.0	26	11.0	[('in', 65), ('vbd', 13), ('vbz', 9), ('vbn', 4), ('nps', 3), ('nn', 2), ('nns', 2), ('OOV', 2), ('dt', 1), (',', 1)]
news	0.734375	0.4296875	4.85981240436167	9.41319957998769	55.0	15	12.0	[('in', 67), ('nn', 7), ('vbn', 6), ('vbz', 5), ('nns', 4), ('vbd', 3), ('vbg', 1), ('dt', 1)]
confirmation	0.796875	0.4609375	1.38629436111989	5.33271879326537	59.0	11	23.0	[('in', 82), ('nn', 8), ('vbz', 6), ('vbd', 5), ('dt', 1)]
myth	0.796875	0.515625	3.55534806148941	7.13727843726039	66.0	16	14.0	[('in', 80), ('vbz', 9), ('vbd', 3), ('nns', 2), ('vbg', 2), ('vbn', 2), ('to', 1), ('nn', 1), ('dt', 1), (',', 1)]
prediction	0.765625	0.5	2.30258509299405	5.68697535633982	64.0	15	14.0	[('in', 78), ('vbz', 9), ('vbd', 4), ('dt', 2), ('nn', 2), ('vbn', 2), ('nns', 1)]
information	0.6640625	0.4375	4.71849887129509	8.09040229659332	56.0	8	14.0	[('in', 70), ('vbn', 4), ('nn', 3), ('dt', 2), ('vbg', 2), ('to', 1), ('cc', 1), ('vbd', 1), ('vbz', 1)]
allegation	0.7890625	0.640625	3.43398720448515	6.7900972355139	82.0	3	12.0	[('in', 94), ('vbd', 3), ('dt', 2), ('rb', 1), ('nn', 1)]
evidence	0.8203125	0.484375	4.47733681447821	7.74975340627444	62.0	19	12.0	[('in', 74), ('vbz', 11), ('vbn', 4), ('nns', 3), ('to', 3), ('vbd', 3), (',', 2), ('vbg', 1), ('dt', 1), ('nn', 1), ('wp', 1), ('nps', 1)]
opinion	0.7734375	0.546875	3.49650756146648	6.67708346124714	70.0	4	22.0	[('in', 92), ('vbz', 3), ('nn', 2), ('nns', 1), ('vbd', 1)]
proof	0.8125	0.625	4.26267987704132	7.12929754892937	80.0	5	15.0	[('in', 95), ('vbz', 2), ('wp', 2), ('vbn', 2), ('vbd', 1), ('dt', 1), ('nn', 1)]
idea	0.828125	0.625	7.23921497377981	10.0081178016142	80.0	11	11.0	[('in', 91), ('vbd', 5), ('vbz', 5), ('wrb', 1), ('dt', 1), ('vbn', 1), (':', 1), ('to', 1)]
rumor	0.78125	0.4296875	3.3322045101752	6.07073772800249	55.0	19	14.0	[('in', 69), ('vbz', 8), ('vbd', 7), ('dt', 5), ('vbn', 3), ('nns', 3), ('to', 1), ('jj', 1), ('nn', 1), ('rb', 1), ('vbg', 1)]
reminder	0.7578125	0.59375	0	2.56494935746154	76.0	4	13.0	[('in', 89), ('dt', 2), ('vbz', 2), ('nn', 2), ('vbg', 1), ('vbp', 1)]
suspicion	0.7578125	0.6171875	2.70805020110221	4.97673374242057	79.0	2	11.0	[('in', 90), ('dt', 3), ('rb', 1), ('vbd', 1), ('vbz', 1), ('to', 1)]
certainty	0.828125	0.625	0.693147180559945	2.89037175789616	80.0	8	11.0	[('in', 91), ('vbz', 3), ('to', 3), ('vbd', 3), ('dt', 2), ('vbn', 2), ('nn', 1), (',', 1)]
revelation	0.8125	0.6328125	4.34380542185368	6.47543271670409	81.0	4	14.0	[('in', 95), ('vbz', 3), ('to', 2), ('dt', 1), (',', 1), ('vbd', 1), ('nn', 1)]
suggestion	0.7890625	0.6015625	5.08140436498446	6.49223983502047	77.0	1	14.0	[('in', 91), ('dt', 4), ('to', 3), ('vbz', 1), ('wrb', 1), (',', 1)]
realization	0.84375	0.6875	4.18965474202643	5.49306144334055	88.0	0	16.0	[('in', 104), ('dt', 3), ('nn', 1)]
belief	0.75	0.640625	5.66642668811243	6.86380339145295	82.0	3	8.0	[('in', 90), ('vbz', 3), ('dt', 2), ('nn', 1)]
fact	0.890625	0.8125	8.91489490890657	9.51731023333525	104.0	0	2.0	[('in', 106), ('dt', 5), (',', 2), ('wp', 1)]
